iter	Passed	Remaining
941	9468	582
942	9479	572
943	9490	562
944	9499	552
945	9509	542
946	9519	532
947	9529	522
948	9539	512
949	9549	502
950	9559	492
951	9570	482
952	9579	472
953	9589	462
954	9599	452
955	9609	442
956	9620	432
957	9630	422
958	9640	412
959	9649	402
960	9659	392
961	9670	381
962	9679	371
963	9690	361
964	9699	351
965	9709	341
966	9719	331
967	9729	321
968	9739	311
969	9749	301
970	9759	291
971	9769	281
972	9778	271
973	9789	261
974	9799	251
975	9809	241
976	9819	231
977	9828	221
978	9838	211
979	9849	201
980	9860	190
981	9870	180
982	9880	170
983	9889	160
984	9900	150
985	9910	140
986	9920	130
987	9930	120
988	9940	110
989	9950	100
990	9961	90
991	9971	80
992	9981	70
993	9991	60
994	10001	50
995	10011	40
996	10021	30
997	10031	20
998	10041	10
999	10050	0
